id	narrative_id	narrative_name	date	text	lang	url	domain	image_url	image_path	text_to_speech
	1	mythical_nazis	2022.01.02	Volodin: Ukraine is increasingly sliding towards a state with a nationalist ideology	en	https://www.pnp.ru/politics/volodin-ukraina-vsyo-bolshe-skatyvaetsya-k-gosudarstvu-s-nacionalisticheskoy-ideologiey.html				1
	1	mythical_nazis	2022.02.03	Ukraine has become a nationalist state without rights for ethnic minorities	en	https://news-front.info/2022/02/03/ukraina-stala-natsionalisticheskim-gosudarstvom-bez-prav-etnomenshinstv/				1
	1	mythical_nazis	2022.02.28	Without the Nazis and Bandera, but with the Russian language: several regions of Ukraine decided to create a new state	en	https://uralpress.ru/news/federaciya/bez-nacistov-i-banderovcev-no-s-russkim-yazykom-neskolko-oblastey-ukrainy-reshili				1
	1	mythical_nazis	2022.03.25	Kurginyan explained why fascism in Ukraine was inevitable after the collapse of the USSR	en	https://regnum.ru/news/3544306.html				1
	1	mythical_nazis	2022.04.13	Ukraine is literally a Nazi state, it's time for everyone to realise the power of the enemy	en	https://regnum.ru/news/polit/3563069.html				1
	1	mythical_nazis	2022.04.22	Asya Abdulova: the Kyiv regime glorifies Nazism at the state level	en	https://riafan.ru/23137762-asya_abdulova_kievskii_rezhim_geroiziruet_natsizm_na_gosudarstvennom_urovne				1
	1	mythical_nazis	2022.05.02	Volodin called the Nazi ideology the basis of the state system of modern Ukraine	en	https://riafan.ru/23167149-volodin_nazval_natsistskuyu_ideologiyu_osnovoi_gosudarstvennogo_stroya_sovremennoi_ukraini				1
	1	mythical_nazis	2022.05.16	Putin: Neo-Nazism at the state level is encouraged only in Ukraine	en	https://www.tatar-inform.ru/news/putin-neonacizm-pooshhryaetsya-tolko-na-ukraine-5866047				1
	1	mythical_nazis	2022.07.28	The Armed Forces of Ukraine called the act of Nazi collaborators the basis of statehood	en	https://ria.ru/20220728/ukraina-1805521027.html				1
	1	mythical_nazis	2022.01.01	Aksenov called Bandera "ideological leprosy"	en	https://ria.ru/20220101/aksenov-1766388299.html				1
	1	mythical_nazis	2022.01.18	Rogozin compared NATO to Bander-logs	en	https://aif.ru/politics/world/rogozin_sravnil_nato_s_banderlogami				1
	1	mythical_nazis	2022.02.26	Russian Defense Ministry: Ukrainian nationalists use "Bander-mobiles"	en	https://www.mk.ru/politics/2022/02/26/minoborony-rf-ukrainskie-nacionalisty-ispolzuyut-bandermobili.html				1
	1	mythical_nazis	2022.03.21	A resident of Mariupol told how "Bandera" shot people in bomb shelters	en	https://life.ru/p/1483258				1
	1	mythical_nazis	2022.04.13	Denazification and "debanderization" of Ukraine will be implemented to the end	en	https://riafan.ru/22995411-kuzichev_denatsifikatsiya_i_debanderizatsiya_ukraini_budut_realizovani_do_kontsa				1
	1	mythical_nazis	2022.05.09	In a Mariupol school was found a manual for teachers glorifying Bandera	en	https://lenta.ru/news/2022/05/09/bandera/				1
	1	mythical_nazis	2022.01.27	Lavrov recalled the rehabilitation of the Nazis in Ukraine	en	https://ria.ru/20220127/lavrov-1769870331.html				1
	1	mythical_nazis	2022.03.18	Zelensky as a screen for the rehabilitation of Nazism	en	https://aif.ru/politics/opinion/zelenskiy_kak_shirma_dlya_reabilitacii_nacizma				1
	1	mythical_nazis	2022.04.11	In Saint-Petersburg the first sentence was passed under the article on the rehabilitation of Nazism	en	https://www.trud.ru/article/11-04-2022/1414733_v_peterburge_vynesli_pervyj_prigovor_po_statje_o_reabilitatsii_natsizma.html				1
